X,Y,Press
158,117,1
158,123,1
158,142,1
158,171,1
158,207,1
158,248,1
159,288,1
159,315,1
159,338,1
159,350,1
159,354,1
159,354,1
159,354,1
159,354,1
159,354,1
159,352,1
159,341,1
159,335,1
158,326,1
157,322,1
156,311,0
156,296,0
158,274,0
163,257,0
167,240,0
170,225,0
171,214,0
171,206,0
170,196,0
168,188,0
165,182,0
164,178,0
162,175,0
162,175,0
162,174,0
162,172,0
161,168,0
160,166,0
159,162,0
159,162,0
159,160,0
159,158,0
159,156,0
160,154,0
161,152,0
161,151,0
162,149,0
162,148,0
162,148,0
162,148,1
162,148,1
162,148,1
165,148,1
177,148,1
194,148,1
205,148,1
229,148,1
235,148,1
238,148,1
239,148,1
239,148,1
239,148,1
238,148,0
235,148,0
235,150,0
236,152,0
241,159,0
245,166,0
248,175,0
247,186,0
243,198,0
240,209,0
235,222,0
231,233,0
228,242,0
225,245,0
224,247,0
224,247,0
224,247,0
224,247,0
224,247,0
224,247,0
224,247,0
224,247,0
224,247,0
224,247,1
224,248,1
224,254,1
224,263,1
223,275,1
225,293,1
229,308,1
236,320,1
243,329,1
248,332,1
250,334,1
251,334,1
253,333,1
254,331,1
258,322,1
259,319,1
263,304,1
263,300,1
263,291,1
258,273,1
253,267,1
243,257,1
235,250,1
230,247,1
229,246,1
229,246,1
229,246,1
228,246,1
227,246,1
227,247,1
228,252,1
231,256,1
234,259,0
240,262,0
249,264,0
264,267,0
279,268,0
292,268,0
296,268,0
301,268,0
303,267,0
303,264,0
300,257,0
298,255,0
297,251,0
296,250,0
296,250,0
296,250,0
296,250,0
296,250,0
296,250,0
296,250,1
296,255,1
296,266,1
297,283,1
299,291,1
303,317,1
307,332,1
309,342,1
309,345,1
309,346,1
309,346,1
309,346,1
309,346,1
309,340,1
306,330,1
304,320,1
303,312,1
304,308,1
307,305,1
310,304,1
314,304,1
322,304,1
334,307,1
343,313,1
349,320,1
354,327,1
354,330,1
354,333,1
353,336,1
351,337,1
335,340,1
329,340,1
291,337,1
272,331,1
265,328,1
259,326,1
258,326,1
258,325,1
261,323,1
266,317,0
276,311,0
284,306,0
289,300,0
291,295,0
291,288,0
290,282,0
290,278,0
290,275,0
290,272,0
290,271,0
290,269,0
290,268,0
289,266,0
288,265,0
288,265,0
288,265,0
288,265,0
288,265,0
288,265,0
288,265,1
290,265,1
306,268,1
333,271,1
358,272,1
381,272,1
389,272,1
391,272,1
391,272,1
391,272,0
391,272,0
389,273,0
389,273,0
390,274,0
391,274,0
401,277,0
404,277,0
414,277,0
424,276,0
424,276,0
425,274,0
425,273,0
425,271,0
425,271,0
425,271,0
425,270,0
425,270,0
425,270,0
423,271,1
419,277,1
415,290,1
410,307,1
405,314,1
395,335,1
394,338,1
391,341,1
391,341,1
391,341,1
391,341,1
391,332,1
392,324,1
400,306,1
406,288,1
412,272,1
418,265,1
420,263,1
420,263,1
420,263,1
420,263,1
420,265,1
423,275,1
427,290,1
435,309,1
441,328,1
444,333,1
447,341,1
447,343,1
447,343,1
448,343,1
449,342,1
450,331,1
452,327,1
456,316,1
456,310,0
456,307,0
457,304,0
458,300,0
459,296,0
462,289,0
464,283,0
467,276,0
469,272,0
470,270,0
470,270,0
470,270,0
470,270,0
470,270,0
470,270,0
470,273,1
470,289,1
472,308,1
473,318,1
476,334,1
478,344,1
478,346,1
478,346,1
478,346,1
480,345,1
484,340,1
491,328,1
498,313,1
505,300,1
510,291,1
515,284,1
515,283,1
515,282,1
515,282,1
515,282,1
515,282,1
515,282,1
516,285,1
519,297,1
522,315,1
526,333,1
529,347,1
530,357,1
530,360,1
530,361,1
530,361,1
533,357,1
538,347,0
544,331,0
551,318,0
561,303,0
568,294,0
573,287,0
575,279,0
575,278,0
576,276,0
576,276,0
576,276,0
576,276,0
576,276,0
574,282,0
574,295,1
574,314,1
575,334,1
578,352,1
579,360,1
579,362,1
579,362,1
579,362,1
579,350,1
577,333,1
574,322,1
574,320,1
574,317,1
576,317,1
580,317,1
606,317,1
630,315,1
650,312,1
656,309,1
659,303,0
658,297,0
651,288,0
643,283,0
640,281,0
640,280,0
640,280,0
640,280,0
640,280,0
640,280,0
640,280,0
640,281,0
640,284,1
640,295,1
640,308,1
640,324,1
640,336,1
641,349,1
642,353,1
642,354,1
642,354,1
642,354,1
