X,Y,Press
140,184,1
140,197,1
140,219,1
138,243,1
137,265,1
137,285,1
136,300,1
135,307,1
135,308,1
135,308,1
135,308,1
135,308,1
135,308,1
134,304,1
129,289,0
123,271,0
115,253,0
108,236,0
103,221,0
101,210,0
102,198,0
103,191,0
105,187,0
106,185,0
107,185,0
107,185,0
109,185,0
111,184,0
111,183,0
112,183,0
113,183,0
115,183,0
119,183,0
123,184,0
124,184,0
126,184,0
131,186,0
136,187,0
140,189,0
141,189,0
141,189,0
141,189,0
141,189,0
141,189,0
141,189,0
141,189,0
141,189,0
141,189,0
141,189,0
141,189,1
141,189,1
141,189,1
142,189,1
146,189,1
151,189,1
158,189,1
173,191,1
192,194,1
203,197,1
204,197,1
204,197,0
204,198,0
201,199,0
198,200,0
194,201,0
191,206,0
190,213,0
190,225,0
193,239,0
196,248,0
202,260,0
206,268,0
209,271,0
210,273,0
210,273,0
210,273,0
210,273,0
210,273,0
210,273,0
210,273,0
210,273,0
210,272,0
210,272,0
210,270,0
210,270,0
210,270,0
209,270,1
207,271,1
205,275,1
204,280,1
203,286,1
203,289,1
204,296,1
207,301,1
212,306,1
221,309,1
232,310,1
247,310,1
255,308,1
258,304,1
259,301,1
259,294,1
258,287,1
253,280,1
249,275,1
245,270,1
240,267,1
239,266,1
239,266,1
234,266,1
231,266,1
218,267,1
211,269,1
203,273,1
200,275,1
194,278,1
192,280,1
192,280,0
192,280,0
195,280,0
200,280,0
206,277,0
220,274,0
237,272,0
257,272,0
278,271,0
293,268,0
301,267,0
303,265,0
303,265,0
303,265,0
303,265,0
303,263,0
304,261,0
305,260,0
305,259,0
305,259,0
305,259,0
305,259,0
305,259,0
305,259,0
306,261,1
308,269,1
311,280,1
313,291,1
315,301,1
315,306,1
315,307,1
315,307,1
315,307,1
315,307,1
315,307,1
315,307,1
315,307,1
315,305,1
317,298,1
318,295,1
319,290,1
321,287,1
323,286,1
325,286,1
325,286,1
326,286,1
330,287,1
335,291,1
338,294,1
339,295,1
340,296,1
340,298,1
340,300,1
340,301,1
340,303,1
338,304,1
335,305,1
333,305,1
330,305,1
326,305,1
321,305,1
315,305,1
314,305,1
314,305,1
314,305,1
312,305,1
311,305,1
311,305,1
311,305,1
311,304,0
311,302,0
312,297,0
314,292,0
315,287,0
315,282,0
315,278,0
315,272,0
314,271,0
314,270,0
313,268,0
313,268,0
312,267,0
312,267,0
312,267,0
312,267,0
312,267,0
310,267,0
309,267,0
307,267,0
306,267,0
306,267,0
306,267,0
306,267,0
306,267,1
307,265,1
310,265,1
316,263,1
322,262,1
329,260,1
334,260,1
337,260,1
338,260,1
339,260,1
339,260,0
339,260,0
340,260,0
341,260,0
344,261,0
348,262,0
359,264,0
371,267,0
381,267,0
389,267,0
392,267,0
393,267,0
393,267,0
393,267,0
393,267,0
392,266,0
390,264,0
388,263,0
386,262,0
384,262,0
384,262,0
384,262,0
384,262,0
384,262,0
384,262,0
384,262,0
384,262,0
384,262,1
383,262,1
383,267,1
383,274,1
382,283,1
381,293,1
379,302,1
379,305,1
379,307,1
379,307,1
378,307,1
378,307,1
378,306,1
379,299,1
380,295,0
382,283,0
382,276,0
382,269,0
383,265,0
383,260,0
383,257,0
383,256,0
383,256,0
383,256,0
383,256,0
383,256,0
383,256,0
385,258,0
388,265,1
394,275,1
403,290,1
413,302,1
422,312,1
426,316,1
426,316,1
427,317,1
427,317,1
427,317,1
427,317,1
427,317,1
427,317,0
427,315,0
429,311,0
432,307,0
438,302,0
447,294,0
453,287,0
456,279,0
458,274,0
460,270,0
461,268,0
461,266,0
461,266,0
461,266,0
461,266,0
461,266,0
461,266,0
461,266,0
461,266,0
461,266,0
461,267,1
461,271,1
463,284,1
465,290,1
469,302,1
474,312,1
475,314,1
475,314,1
475,314,1
475,315,1
477,314,1
480,311,1
482,306,1
485,299,1
488,291,1
492,284,1
494,277,1
496,274,1
496,273,1
496,273,1
496,273,1
496,273,1
496,273,1
496,273,1
496,273,1
496,273,1
496,273,1
496,273,1
496,273,1
496,273,1
496,273,1
496,273,1
496,273,0
496,273,0
496,273,0
496,273,0
496,273,0
496,273,0
496,273,0
496,273,0
496,273,0
496,273,0
496,272,0
496,271,0
496,270,0
496,270,0
496,270,0
496,270,0
496,270,0
496,270,0
496,270,1
496,271,1
497,274,1
500,285,1
504,297,1
507,306,1
509,311,1
510,313,1
512,317,1
512,317,1
512,317,1
512,317,1
512,317,1
512,317,1
512,317,1
513,316,0
516,311,0
520,306,0
525,298,0
531,288,0
534,279,0
539,271,0
540,267,0
540,266,0
540,266,0
540,266,0
540,265,0
540,264,0
540,264,0
540,264,0
540,264,0
540,264,0
540,264,0
539,265,0
539,266,1
539,273,1
539,283,1
539,287,1
542,300,1
542,302,1
543,305,1
543,306,1
543,306,1
543,306,1
543,306,1
543,306,1
543,306,1
543,306,1
543,306,0
543,306,0
543,306,0
543,302,0
543,299,0
542,293,0
542,291,0
542,290,0
542,290,0
542,290,0
542,290,0
542,290,0
542,290,0
542,289,1
543,289,1
547,289,1
551,289,1
552,289,1
552,289,1
552,289,1
552,289,1
552,289,1
552,289,0
554,289,0
555,288,0
556,286,0
557,284,0
557,283,0
559,276,0
561,272,0
561,270,0
562,265,0
564,261,0
564,261,0
564,260,0
564,260,0
564,260,0
564,260,0
564,260,0
564,260,0
564,265,1
564,271,1
564,280,1
564,292,1
564,301,1
566,317,1
567,324,1
568,325,1
568,325,1
568,325,1
568,325,1
568,325,1
568,325,1
