X,Y,Press
287,116,1
287,116,1
284,120,1
277,133,1
266,153,1
252,179,1
239,206,1
230,233,1
224,245,1
215,267,1
210,287,1
205,306,1
200,322,1
198,334,1
196,344,1
194,350,1
194,351,1
194,351,1
194,351,1
194,351,1
194,351,1
194,351,1
194,351,1
194,351,1
195,346,1
200,332,1
206,309,1
214,283,1
219,269,1
232,233,1
241,211,1
244,203,1
252,176,1
256,161,1
259,155,1
265,145,1
267,143,1
269,141,1
270,140,1
273,140,1
276,137,1
280,134,1
281,132,1
281,132,1
281,132,1
281,132,1
281,132,1
279,142,1
276,164,1
275,189,1
275,214,1
275,237,1
277,259,1
282,279,1
284,287,1
288,300,1
293,311,1
298,325,1
299,326,1
299,328,1
300,328,1
301,327,1
308,320,1
320,308,1
332,293,1
344,277,1
353,262,1
355,252,1
357,248,1
357,247,1
357,247,1
357,247,1
357,247,1
354,264,1
354,274,1
357,308,1
358,318,1
360,328,1
362,333,1
362,333,1
368,330,1
379,320,1
391,303,1
403,283,1
410,265,1
413,252,1
414,249,1
414,248,1
414,248,1
414,248,1
414,248,1
414,249,1
411,259,1
407,274,1
404,296,1
402,308,1
399,347,1
397,375,1
397,386,1
397,412,1
397,430,1
396,441,1
396,442,1
396,442,1
395,442,1
389,435,1
382,426,1
377,418,1
375,414,1
375,411,1
376,405,1
381,396,1
394,383,1
402,376,1
425,358,1
462,329,1
476,313,1
482,306,1
490,291,1
492,287,1
493,283,1
493,280,1
493,279,1
493,279,1
493,279,1
493,279,1
493,279,1
493,279,1
492,285,1
489,300,1
489,315,1
489,329,1
489,337,1
490,337,1
490,338,1
491,335,1
493,327,1
495,317,1
497,312,1
497,311,1
497,310,1
497,310,1
499,310,1
508,309,1
526,306,1
541,299,1
549,290,1
550,283,1
549,276,1
549,276,1
548,276,1
545,280,1
538,292,1
533,300,1
526,328,1
525,335,1
527,347,1
528,348,1
531,349,1
543,346,1
564,337,1
593,324,1
615,312,1
626,306,1
628,305,1
628,305,1
628,305,1
628,305,1
628,305,1
628,305,1
628,305,1
628,301,1
626,296,1
621,292,1
617,290,1
614,290,1
612,291,1
604,297,1
594,312,1
588,329,1
585,341,1
586,349,1
586,350,1
587,350,1
593,348,1
604,341,1
619,330,1
630,318,1
634,310,1
636,308,1
636,308,1
636,308,1
634,310,1
633,317,1
632,331,1
632,343,1
634,350,1
639,363,1
640,365,1
643,366,1
647,366,1
