X,Y,Press
398,252,1
398,252,1
398,251,1
401,249,1
407,246,1
415,242,1
429,234,1
437,230,1
454,224,1
470,217,1
482,211,1
491,203,1
493,201,1
497,195,1
500,190,1
503,184,1
503,182,1
503,181,1
503,181,1
503,181,1
503,181,1
503,181,1
503,181,1
503,181,1
503,181,1
503,181,1
502,189,1
499,204,1
497,213,1
493,240,1
489,256,1
488,265,1
484,281,1
480,299,1
476,315,1
473,327,1
472,332,1
472,334,1
472,334,1
472,334,1
472,334,1
472,334,1
472,334,1
471,335,1
471,335,0
470,335,0
467,335,0
459,335,0
452,337,0
441,339,0
435,341,0
417,344,0
411,345,0
402,346,0
399,347,0
398,347,0
398,347,0
398,347,0
398,347,0
398,347,0
398,347,0
398,347,1
400,347,1
408,346,1
421,346,1
444,346,1
469,346,1
491,346,1
505,346,1
511,346,1
514,346,1
514,346,1
514,346,1
514,346,1
514,346,1
514,346,1
515,346,1
518,344,0
520,342,0
525,340,0
528,338,0
528,335,0
529,327,0
531,315,0
534,297,0
542,276,0
550,256,0
553,237,0
553,222,0
548,208,0
544,200,0
543,198,0
543,196,0
543,195,0
543,193,0
542,189,0
541,187,0
539,183,1
537,178,1
533,173,1
524,164,1
514,156,1
502,150,1
490,145,1
479,144,1
470,143,1
457,143,1
441,144,1
421,149,1
401,158,1
377,168,1
356,181,1
340,194,1
327,209,1
323,216,1
317,228,1
311,245,1
310,252,1
310,264,1
310,278,1
311,295,1
315,312,1
320,325,1
325,336,1
333,346,1
343,356,1
356,365,1
372,375,1
391,383,1
411,390,1
429,394,1
444,397,1
456,400,1
463,402,1
468,402,1
471,402,1
488,400,1
495,398,1
524,387,1
532,383,1
547,374,1
557,363,1
563,352,1
568,339,1
571,326,1
574,312,1
577,298,1
577,285,1
577,269,1
574,253,1
567,239,1
559,225,1
550,211,1
544,203,1
541,199,1
538,192,1
537,190,1
534,184,1
533,183,1
531,178,1
531,177,1
530,174,1
529,172,1
528,169,1
528,169,1
528,169,1
