X,Y,Press
448,279,1
447,279,1
447,277,1
450,272,1
455,263,1
461,252,1
467,239,1
472,223,1
479,208,1
482,195,1
485,186,1
486,183,1
486,182,1
486,182,1
486,182,1
486,182,1
486,182,1
486,182,1
486,182,1
486,183,1
486,199,1
486,217,1
486,225,1
490,252,1
491,259,1
493,271,1
495,281,1
496,286,1
496,290,1
496,293,1
496,294,1
496,295,1
496,295,1
496,295,1
496,295,1
496,295,1
496,295,1
496,295,1
496,295,0
494,295,0
486,296,0
482,297,0
467,300,0
457,302,0
452,303,0
451,303,0
447,304,0
446,304,0
446,304,0
443,305,0
442,306,0
439,306,0
438,307,0
438,307,0
438,307,1
438,307,1
438,307,1
439,307,1
446,305,1
459,302,1
471,300,1
484,300,1
496,300,1
501,300,1
510,300,1
510,299,1
510,299,1
511,298,1
516,298,1
521,298,1
527,296,1
530,295,1
532,295,1
532,295,1
532,295,1
532,295,1
532,295,1
532,295,1
532,295,1
532,294,0
534,290,0
543,285,0
549,282,0
569,273,0
582,268,0
593,262,0
601,256,0
607,251,0
609,249,0
613,245,0
614,243,0
614,243,0
614,242,0
614,241,0
614,238,0
613,232,0
613,229,0
612,225,1
609,219,1
607,215,1
605,208,1
599,200,1
591,190,1
587,186,1
575,173,1
569,169,1
567,168,1
556,161,1
543,157,1
527,152,1
519,150,1
499,146,1
481,142,1
465,139,1
454,139,1
443,139,1
433,140,1
426,142,1
418,144,1
407,150,1
398,157,1
387,163,1
377,171,1
371,178,1
367,187,1
362,198,1
358,211,1
357,216,1
355,227,1
353,244,1
352,251,1
351,266,1
351,271,1
351,282,1
351,295,1
354,305,1
359,314,1
364,323,1
370,331,1
379,339,1
392,346,1
405,352,1
418,356,1
428,359,1
438,360,1
449,360,1
465,359,1
482,356,1
490,355,1
506,352,1
521,347,1
524,345,1
533,340,1
538,338,1
545,333,1
552,328,1
557,323,1
563,316,1
567,309,1
569,303,1
573,296,1
578,289,1
582,282,1
584,276,1
587,269,1
588,264,1
589,260,1
590,255,1
591,250,1
592,248,1
592,246,1
594,240,1
595,238,1
596,235,1
596,233,1
597,230,1
598,227,1
599,223,1
601,219,1
602,216,1
603,215,1
604,213,1
605,210,1
605,208,1
605,206,1
605,204,1
605,204,1
605,204,1
605,204,1
605,204,1
605,204,1
605,204,1
605,204,1
605,204,1
