X,Y,Press
397,251,1
398,250,1
401,250,1
407,247,1
415,244,1
423,240,1
432,236,1
442,229,1
453,222,1
466,214,1
479,204,1
491,193,1
501,184,1
507,179,1
510,175,1
512,173,1
512,173,1
512,173,1
512,173,1
512,173,1
512,173,1
512,173,1
512,173,1
512,174,1
511,181,1
506,194,1
500,210,1
495,228,1
490,249,1
484,267,1
480,283,1
477,295,1
476,302,1
475,307,1
474,309,1
474,310,1
474,310,1
474,310,1
474,310,1
474,310,1
474,310,1
474,310,1
474,310,0
474,310,0
470,311,0
461,313,0
448,316,0
434,318,0
419,321,0
404,324,0
391,327,0
383,328,0
378,328,0
378,328,0
378,328,0
378,328,0
378,328,0
378,328,0
378,328,1
378,328,1
389,328,1
409,328,1
421,328,1
451,328,1
503,328,1
517,328,1
539,328,1
546,328,1
548,328,1
548,328,1
548,328,1
548,328,1
548,328,1
548,328,1
549,327,0
551,323,0
552,317,0
553,311,0
555,298,0
558,284,0
561,268,0
563,261,0
567,244,0
574,220,0
575,212,0
578,195,0
579,191,0
580,188,0
580,187,0
581,185,0
581,184,0
580,179,0
580,176,0
578,170,0
574,163,1
567,155,1
561,147,1
554,142,1
548,138,1
544,136,1
542,135,1
531,133,1
518,133,1
507,133,1
476,135,1
456,139,1
439,144,1
432,148,1
418,155,1
402,164,1
384,177,1
367,190,1
351,205,1
338,222,1
331,237,1
327,249,1
324,259,1
324,268,1
324,279,1
324,293,1
326,308,1
328,315,1
335,335,1
341,344,1
345,349,1
355,358,1
378,368,1
396,375,1
405,377,1
420,380,1
435,383,1
448,386,1
459,387,1
472,387,1
490,387,1
506,385,1
522,380,1
539,374,1
555,368,1
567,362,1
577,356,1
586,351,1
595,343,1
605,336,1
608,332,1
622,317,1
626,311,1
635,291,1
638,278,1
638,273,1
638,259,1
636,247,1
634,238,1
632,229,1
628,221,1
625,215,1
622,208,1
621,204,1
619,199,1
616,192,1
613,185,1
609,179,1
606,174,1
601,171,1
598,168,1
594,166,1
589,163,1
584,161,1
582,160,1
581,160,1
581,160,1
581,160,1
580,160,1
577,160,1
573,160,1
569,160,1
