X,Y,Press
248,148,1
248,151,1
248,162,1
248,177,1
248,196,1
248,216,1
248,237,1
248,258,1
248,289,1
248,299,1
248,315,1
248,325,1
248,328,1
248,329,1
248,329,1
248,328,1
248,318,1
248,298,1
248,275,1
248,253,1
248,233,1
248,214,1
248,205,1
254,182,1
257,176,1
262,166,1
267,160,1
270,159,1
270,159,1
271,159,1
273,161,1
281,176,1
291,196,1
296,218,1
297,236,1
294,252,1
282,265,1
265,273,1
247,278,1
233,279,1
222,278,1
219,276,1
218,273,1
218,269,1
217,264,1
217,263,1
218,261,1
218,261,1
220,261,1
226,267,1
235,278,1
246,291,1
256,304,1
263,313,1
268,316,1
269,317,1
275,317,1
288,313,1
306,303,1
316,298,1
340,276,1
349,263,1
351,257,1
352,254,1
352,253,1
352,253,1
352,253,1
350,261,1
349,268,1
346,287,1
345,306,1
346,325,1
348,334,1
350,336,1
350,336,1
352,335,1
355,326,1
361,310,1
368,290,1
373,275,1
377,263,1
378,259,1
378,258,1
378,258,1
378,258,1
378,259,1
378,262,1
380,283,1
381,291,1
385,308,1
390,321,1
395,326,1
396,326,1
400,325,1
408,319,1
420,305,1
436,287,1
450,263,1
463,239,1
473,219,1
478,204,1
480,197,1
480,195,1
480,194,1
480,193,1
478,196,1
472,209,1
468,221,1
462,250,1
456,279,1
455,304,1
455,322,1
457,332,1
457,332,1
457,332,1
460,330,1
466,320,1
471,304,1
472,286,1
469,265,1
461,251,1
458,246,1
457,245,1
457,245,1
457,248,1
458,259,1
466,271,1
483,282,1
495,285,1
519,286,1
541,284,1
551,277,1
554,273,1
554,272,1
554,272,1
554,272,1
554,280,1
552,291,1
552,302,1
553,309,1
554,311,1
558,310,1
564,302,1
574,289,1
581,275,1
584,264,1
584,264,1
584,263,1
584,263,1
582,265,1
578,286,1
576,297,1
571,321,1
566,351,1
560,378,1
556,402,1
551,417,1
546,424,1
539,425,1
526,419,1
506,404,1
488,390,1
477,381,1
475,380,1
