X,Y,Press
257,156,1
255,163,1
255,168,1
255,175,1
255,183,1
255,188,1
255,202,1
255,226,1
255,235,1
255,247,1
255,257,1
255,262,1
255,266,1
255,268,1
255,273,1
254,277,1
253,281,1
253,285,1
252,287,1
252,287,1
252,287,1
252,287,1
252,287,1
252,288,1
252,286,1
252,278,1
249,264,1
245,240,1
243,224,1
243,217,1
243,198,1
243,194,1
243,186,1
243,177,1
244,172,1
246,168,1
246,163,1
249,160,1
252,158,1
255,158,1
262,158,1
274,158,1
280,160,1
283,163,1
285,164,1
286,170,1
287,186,1
288,193,1
288,205,1
285,216,1
280,224,1
275,231,1
270,235,1
267,236,1
263,237,1
260,237,1
257,237,1
254,237,1
254,237,1
253,237,1
253,237,1
253,236,1
253,234,1
253,232,1
254,230,1
255,229,1
256,228,1
256,228,1
256,228,1
261,238,1
264,241,1
269,252,1
277,263,1
282,271,1
285,274,1
285,275,1
285,275,1
286,275,1
288,273,1
295,267,1
303,256,1
312,245,1
315,234,1
320,229,1
321,226,1
322,220,1
322,217,1
324,215,1
324,215,1
324,215,1
324,215,1
324,217,1
325,237,1
325,244,1
329,260,1
333,272,1
335,276,1
336,277,1
336,277,1
337,277,1
342,273,1
351,265,1
362,256,1
370,244,1
374,235,1
376,229,1
376,228,1
376,226,1
376,226,1
376,226,1
376,226,1
376,226,1
376,234,1
375,239,1
375,249,1
375,260,1
378,271,1
382,278,1
384,280,1
384,281,1
385,281,1
390,277,1
399,267,1
409,251,1
420,233,1
428,214,1
432,196,1
436,182,1
436,179,1
436,173,1
436,168,1
436,168,1
436,168,1
436,168,1
436,167,1
431,174,1
428,180,1
424,196,1
421,218,1
420,237,1
420,253,1
422,267,1
425,276,1
427,279,1
428,279,1
428,279,1
429,279,1
431,276,1
433,267,1
434,255,1
434,241,1
430,230,1
429,225,1
425,220,1
424,219,1
424,219,1
423,219,1
421,220,1
421,225,1
421,231,1
423,235,1
432,238,1
446,239,1
463,237,1
478,231,1
486,226,1
489,222,1
490,221,1
490,221,1
490,221,1
490,221,1
490,223,1
488,238,1
488,249,1
489,258,1
489,260,1
493,262,1
501,259,1
506,257,1
517,250,1
525,241,1
530,233,1
530,230,1
530,229,1
530,229,1
530,229,1
530,229,1
529,238,1
526,252,1
526,269,1
526,288,1
523,307,1
521,322,1
518,334,1
516,337,1
513,339,1
513,339,1
508,339,1
503,337,1
489,329,1
471,318,1
467,316,1
466,315,1
