X,Y,Press
225,176,1
225,176,1
225,176,1
225,176,1
225,178,1
225,187,1
224,203,1
221,220,1
218,236,1
215,252,1
215,261,1
214,272,1
214,276,1
214,284,1
214,290,1
214,293,1
214,294,1
214,294,1
214,294,1
214,294,1
214,294,1
214,293,1
213,284,1
211,275,1
210,265,1
208,254,1
208,244,1
208,235,1
208,227,1
208,217,1
209,212,1
212,203,1
213,198,1
216,195,1
219,192,1
224,189,1
227,187,1
229,186,1
230,186,1
231,186,1
231,186,1
233,186,1
234,187,1
234,190,1
234,197,1
234,206,1
234,219,1
231,230,1
227,237,1
223,242,1
220,246,1
217,247,1
216,247,1
216,247,1
216,247,1
216,247,1
215,247,1
215,244,1
215,239,1
215,237,1
215,236,1
215,236,1
215,236,1
215,236,1
216,239,1
217,248,1
217,259,1
220,271,1
222,276,1
223,278,1
223,278,1
224,278,1
226,277,1
230,273,1
233,269,1
243,256,1
246,251,1
250,242,1
254,234,1
255,231,1
256,230,1
256,230,1
256,230,1
256,230,1
256,230,1
254,237,1
253,248,1
253,261,1
253,272,1
254,280,1
254,281,1
254,282,1
255,282,1
259,280,1
265,271,1
273,260,1
280,250,1
283,242,1
285,235,1
285,234,1
285,233,1
285,233,1
285,233,1
285,233,1
284,235,1
283,242,1
282,253,1
281,263,1
281,274,1
286,282,1
289,286,1
291,286,1
295,286,1
304,284,1
317,277,1
324,271,1
349,250,1
356,241,1
371,214,1
374,207,1
376,198,1
376,196,1
376,195,1
376,195,1
373,196,1
369,203,1
362,219,1
355,241,1
350,261,1
348,279,1
348,291,1
349,297,1
349,298,1
350,298,1
351,298,1
353,295,1
355,287,1
356,274,1
351,259,1
345,248,1
340,243,1
340,243,1
340,243,1
339,243,1
339,247,1
340,249,1
348,255,1
365,262,1
384,263,1
405,261,1
419,254,1
423,249,1
423,247,1
423,246,1
423,245,1
421,247,1
417,255,1
413,266,1
412,275,1
414,281,1
418,283,1
420,283,1
432,276,1
440,266,1
443,260,1
447,248,1
447,244,1
447,243,1
447,242,1
445,244,1
440,251,1
434,267,1
427,286,1
422,307,1
418,324,1
415,338,1
413,344,1
412,346,1
406,343,1
393,333,1
373,318,1
349,301,1
334,293,1
331,291,1
