X,Y,Press
207,169,1
207,174,1
207,182,1
207,193,1
207,207,1
207,217,1
209,242,1
211,259,1
211,264,1
211,277,1
211,291,1
213,302,1
215,309,1
215,310,1
216,311,1
216,311,1
216,311,1
216,312,1
216,312,1
216,312,1
216,313,1
216,313,1
216,312,1
216,310,1
216,305,1
215,301,1
214,295,1
212,289,1
211,286,1
210,285,1
210,285,1
210,285,1
210,285,1
210,285,1
210,285,1
210,280,1
209,271,1
207,258,1
204,246,1
204,236,1
204,226,1
205,217,1
207,207,1
209,199,1
211,192,1
213,189,1
215,186,1
215,185,1
216,185,1
216,185,1
217,185,1
219,185,1
223,185,1
225,186,1
228,189,1
230,192,1
233,196,1
235,204,1
236,207,1
236,211,1
236,218,1
234,225,1
229,233,1
222,241,1
213,248,1
205,253,1
198,256,1
194,258,1
193,258,1
193,258,1
193,258,1
193,258,1
193,258,1
193,258,1
193,258,1
193,258,1
193,258,1
197,258,1
204,258,1
217,261,1
231,267,1
244,273,1
255,279,1
261,284,1
265,287,1
268,289,1
269,291,1
270,291,1
270,291,1
270,291,1
270,291,1
270,291,1
271,291,1
274,287,0
275,284,0
285,278,0
298,270,0
310,263,0
319,257,0
326,251,0
328,249,0
329,248,0
329,248,0
329,248,0
329,247,0
328,247,0
327,247,0
323,247,1
319,251,1
316,256,1
315,262,1
315,267,1
315,275,1
316,279,1
319,282,1
321,284,1
325,285,1
332,285,1
341,284,1
343,283,1
346,280,1
351,276,1
353,271,1
354,266,1
354,261,1
354,257,1
353,253,1
350,250,1
345,247,1
339,244,1
335,243,1
330,243,1
329,243,1
324,244,1
320,247,1
318,249,1
316,253,1
313,258,1
313,258,1
313,260,1
313,260,1
313,260,1
313,261,1
316,260,0
327,260,0
350,260,0
380,260,0
419,260,0
448,259,0
469,255,0
477,254,0
478,253,0
478,252,0
477,251,0
476,249,0
468,246,0
460,244,0
449,243,0
436,243,0
429,243,0
410,245,0
404,246,0
394,247,0
393,248,0
392,248,0
392,248,0
392,248,0
392,248,0
393,247,0
393,247,0
396,246,0
397,245,0
398,245,0
398,245,0
398,245,0
398,245,0
398,245,0
398,245,0
399,245,1
398,248,1
393,262,1
390,268,1
384,280,1
380,290,1
379,295,1
379,296,1
379,296,1
379,296,1
379,296,1
379,291,1
381,280,1
386,268,1
391,259,1
396,252,1
399,247,1
402,243,1
402,242,1
402,242,1
402,242,1
402,242,1
405,250,1
408,263,1
411,270,1
416,283,1
419,289,1
419,289,1
420,290,1
422,288,1
426,282,1
433,267,1
443,248,1
452,231,1
460,217,1
