X,Y,Press
347,138,1
347,138,1
347,140,1
347,147,1
347,155,1
347,166,1
347,181,1
347,187,1
347,203,1
347,219,1
347,233,1
345,244,1
345,248,1
345,252,1
345,254,1
345,254,1
345,254,1
345,254,1
345,254,1
345,254,1
345,254,1
345,254,1
345,254,1
345,254,0
345,254,0
345,254,0
345,253,0
350,243,0
361,224,0
377,205,0
394,192,0
404,181,0
408,174,0
409,171,0
409,168,0
409,166,0
409,164,0
409,162,0
409,161,0
409,161,0
409,160,0
409,158,0
411,155,0
411,154,0
411,154,0
411,154,0
411,154,0
412,153,0
413,151,0
413,150,0
413,150,0
413,150,0
413,150,0
413,150,0
413,150,0
413,150,1
413,150,1
413,150,1
413,150,1
413,152,1
412,160,1
409,173,1
408,189,1
406,207,1
404,225,1
402,243,1
401,262,1
401,274,1
401,281,1
401,282,1
401,282,1
401,282,1
401,282,1
401,282,1
401,282,1
401,282,1
401,282,0
401,282,0
400,280,0
399,277,0
398,272,0
396,268,0
392,265,0
384,261,0
373,259,0
359,256,0
348,256,0
336,257,0
322,257,0
307,259,0
294,260,0
286,260,0
274,260,0
265,261,0
262,261,0
261,261,0
261,261,0
259,262,0
258,262,0
257,262,0
257,262,0
256,263,0
255,264,0
253,266,0
251,267,0
251,267,0
251,267,0
251,267,0
251,267,0
251,267,0
251,267,0
251,272,1
255,279,1
260,289,1
267,301,1
273,310,1
280,318,1
289,327,1
297,333,1
309,340,1
322,346,1
336,352,1
350,356,1
362,358,1
373,358,1
382,357,1
393,355,1
407,352,1
418,347,1
428,343,1
434,340,1
438,338,1
441,334,1
445,329,1
447,324,1
447,322,1
449,320,1
449,320,1
449,320,1
449,319,1
449,317,1
449,316,1
449,315,1
449,315,1
449,315,0
449,315,0
450,315,0
450,317,0
450,321,0
451,324,0
452,329,0
454,337,0
455,344,0
456,350,0
456,356,0
457,362,0
459,367,0
460,373,0
461,377,0
461,379,0
461,379,0
461,380,0
463,382,0
463,383,0
464,384,0
464,384,0
465,384,0
466,384,0
467,384,1
468,383,1
472,380,1
477,372,1
483,362,1
491,350,1
500,338,1
506,327,1
511,317,1
515,306,1
518,294,1
520,276,1
520,259,1
521,240,1
521,226,1
521,214,1
519,200,1
514,185,1
507,171,1
499,157,1
494,150,1
483,139,1
470,129,1
458,120,1
444,110,1
429,101,1
415,95,1
398,88,1
380,83,1
364,81,1
345,79,1
326,76,1
307,72,1
288,73,1
268,74,1
246,76,1
227,80,1
211,84,1
197,88,1
183,91,1
167,98,1
157,107,1
149,117,1
142,129,1
135,141,1
131,156,1
130,166,1
129,183,1
129,199,1
129,214,1
129,230,1
132,250,1
135,269,1
139,287,1
143,304,1
148,319,1
156,335,1
166,351,1
180,367,1
195,381,1
210,394,1
226,405,1
246,416,1
268,425,1
291,431,1
306,432,1
315,432,1
323,432,1
327,432,1
343,431,1
364,430,1
391,428,1
415,425,1
429,421,1
434,418,1
437,416,1
438,416,1
439,415,1
442,413,1
446,409,1
452,406,1
460,402,1
465,398,1
467,395,1
469,393,1
470,391,1
471,389,1
473,386,1
475,384,1
476,383,1
476,383,1
476,382,1
476,382,1
476,382,1
476,382,1
476,382,1
476,381,1
476,381,1
476,381,1
476,381,1
476,381,1
476,381,1
