X,Y,Press
337,135,1
337,135,1
337,136,1
337,145,1
337,154,1
337,165,1
337,180,1
337,197,1
339,215,1
342,230,1
342,238,1
342,245,1
342,250,1
342,254,1
342,255,1
342,256,1
342,256,1
342,256,1
342,256,1
342,256,1
342,256,0
343,256,0
346,252,0
356,240,0
372,224,0
394,198,0
397,190,0
402,180,0
402,177,0
402,173,0
402,171,0
402,164,0
404,161,0
405,159,0
406,159,0
407,157,0
410,154,0
414,151,0
416,148,0
418,146,0
418,146,0
418,146,0
418,145,0
419,143,0
419,142,0
419,142,0
419,142,0
419,142,0
419,142,0
419,142,0
419,142,1
419,142,1
420,142,1
422,149,1
424,160,1
426,174,1
428,191,1
430,199,1
432,211,1
433,221,1
434,228,1
436,236,1
436,239,1
436,243,1
437,246,1
437,248,1
437,248,1
437,249,1
437,251,1
437,253,1
437,254,1
437,254,1
437,254,1
437,254,1
437,254,1
437,254,1
437,255,0
437,255,0
437,255,0
437,255,0
436,257,0
431,258,0
413,260,0
387,261,0
353,262,0
328,263,0
311,264,0
301,264,0
296,263,0
291,262,0
283,258,0
275,254,0
268,249,0
262,244,0
257,242,0
256,241,0
256,241,0
256,241,0
256,241,0
256,241,0
256,241,0
254,240,0
254,240,0
254,240,0
254,240,0
254,240,0
254,240,0
254,239,0
253,239,1
253,241,1
253,245,1
256,255,1
263,268,1
275,283,1
289,296,1
301,307,1
312,316,1
320,322,1
326,327,1
336,333,1
354,337,1
379,338,1
409,339,1
443,339,1
471,337,1
491,332,1
505,326,1
511,321,1
513,317,1
515,312,1
518,306,1
521,301,1
523,296,1
524,293,1
525,288,1
525,287,1
525,285,1
526,284,1
526,284,1
526,284,1
526,284,1
526,284,1
526,284,1
526,284,0
529,286,0
529,288,0
529,293,0
526,304,0
515,321,0
498,343,0
477,365,0
463,387,0
452,403,0
445,415,0
441,422,0
439,425,0
439,425,0
439,425,0
439,425,0
438,426,0
438,426,0
438,426,0
438,426,0
438,426,0
438,426,0
438,426,0
438,425,0
439,424,0
442,423,1
447,422,1
457,417,1
470,411,1
487,402,1
504,395,1
521,389,1
536,379,1
548,369,1
557,360,1
564,351,1
569,339,1
572,332,1
575,317,1
582,288,1
583,277,1
587,258,1
591,239,1
592,222,1
592,206,1
592,190,1
592,176,1
592,163,1
592,152,1
591,139,1
588,130,1
584,124,1
578,117,1
569,107,1
558,98,1
547,91,1
532,85,1
517,79,1
497,73,1
488,71,1
465,69,1
435,66,1
397,62,1
363,59,1
336,57,1
317,53,1
309,52,1
306,52,1
304,52,1
300,52,1
294,52,1
284,52,1
269,55,1
253,59,1
238,64,1
225,71,1
213,79,1
204,87,1
199,94,1
194,102,1
192,106,1
187,115,1
183,123,1
179,134,1
176,142,1
172,152,1
168,166,1
165,179,1
164,191,1
164,210,1
167,226,1
170,240,1
173,254,1
176,268,1
179,282,1
185,296,1
192,311,1
196,324,1
201,336,1
208,348,1
217,360,1
224,365,1
238,374,1
251,378,1
261,382,1
269,386,1
277,390,1
286,395,1
298,401,1
311,407,1
325,413,1
335,417,1
339,420,1
343,422,1
347,425,1
354,429,1
366,435,1
376,438,1
383,440,1
385,440,1
387,441,1
390,441,1
394,441,1
400,441,1
406,440,1
409,439,1
415,437,1
419,435,1
420,434,1
422,434,1
423,433,1
423,433,1
424,433,1
427,431,1
430,429,1
433,427,1
434,426,1
435,426,1
435,424,1
435,423,1
436,422,1
436,422,1
437,422,1
437,422,1
437,422,1
437,422,1
437,422,1
438,422,1
440,422,1
440,422,1
440,422,1
440,422,1
440,422,1
440,422,1
440,422,1
440,422,1
440,422,1
440,422,1
