X,Y,Press
274,136,1
274,139,1
274,146,1
274,184,1
274,202,1
274,255,1
274,271,1
273,300,1
272,325,1
271,343,1
270,357,1
268,369,1
266,379,1
265,383,1
265,383,1
265,383,1
265,381,1
265,369,1
265,347,1
265,319,1
265,288,1
265,262,1
266,237,1
268,226,1
275,197,1
277,189,1
289,167,1
293,161,1
299,153,1
302,147,1
303,146,1
303,146,1
303,146,1
303,146,1
304,149,1
309,162,1
312,183,1
314,201,1
311,224,1
305,244,1
294,259,1
282,271,1
274,274,1
273,275,1
273,275,1
273,275,1
272,275,1
272,275,1
272,274,1
276,270,1
285,266,1
302,263,1
317,263,1
331,266,1
339,274,1
345,286,1
349,303,1
350,321,1
350,340,1
349,355,1
344,366,1
338,373,1
331,378,1
324,380,1
318,382,1
311,382,1
303,379,1
299,376,1
292,370,1
292,369,1
291,368,1
291,368,1
291,368,1
291,368,1
291,368,1
291,368,1
291,368,1
291,368,1
291,368,1
291,368,1
291,368,1
291,368,1
291,368,1
297,368,1
315,371,1
327,374,1
371,383,1
396,384,1
415,384,1
423,384,1
433,384,1
433,384,1
433,384,1
433,384,1
433,384,1
433,384,1
433,384,1
433,384,1
433,384,1
433,384,1
433,384,1
433,384,1
433,384,1
433,384,1
433,384,1
434,384,1
435,380,1
436,377,1
436,356,1
438,342,1
447,299,1
448,281,1
452,249,1
454,221,1
454,197,1
453,176,1
451,164,1
451,160,1
451,159,1
451,159,1
451,159,1
451,159,1
451,162,1
451,185,1
451,220,1
449,262,1
445,297,1
441,325,1
439,345,1
439,357,1
439,360,1
439,360,1
439,361,1
439,348,1
439,339,1
443,297,1
446,281,1
449,249,1
456,220,1
467,191,1
481,169,1
491,153,1
503,145,1
508,142,1
509,141,1
509,141,1
513,145,1
518,161,1
523,191,1
524,233,1
518,280,1
511,300,1
483,334,1
473,341,1
459,347,1
454,348,1
453,348,1
453,345,1
454,333,1
460,322,1
469,314,1
483,311,1
499,310,1
516,315,1
534,326,1
551,341,1
563,357,1
568,373,1
571,384,1
571,391,1
568,396,1
566,398,1
549,400,1
516,395,1
497,391,1
454,374,1
446,370,1
442,367,1
441,367,1
441,367,1
441,367,1
