X,Y,Press
251,100,1
250,100,1
250,100,1
250,102,1
250,111,1
252,127,1
253,135,1
257,168,1
260,178,1
265,211,1
267,220,1
271,238,1
273,257,1
277,275,1
279,291,1
279,305,1
280,318,1
280,329,1
280,340,1
280,351,1
279,360,1
279,370,1
279,379,1
279,388,1
279,394,1
279,398,1
279,401,1
278,407,1
277,409,1
277,412,1
277,412,1
277,412,1
277,412,1
277,412,1
277,410,1
277,405,1
276,394,1
273,381,1
269,360,1
266,336,1
263,304,1
260,259,1
260,223,1
261,189,1
264,164,1
270,148,1
273,142,1
277,134,1
282,128,1
285,127,1
288,127,1
290,127,1
291,127,1
293,128,1
296,132,1
300,144,1
303,159,1
302,178,1
294,201,1
284,223,1
274,242,1
264,254,1
261,259,1
260,260,1
260,260,1
260,260,1
260,260,1
260,260,1
264,255,1
268,252,1
281,247,1
295,243,1
304,242,1
315,243,1
328,250,1
342,261,1
353,274,1
364,290,1
373,306,1
378,322,1
381,335,1
381,346,1
378,355,1
369,365,1
353,375,1
331,382,1
308,387,1
284,389,1
275,389,1
249,388,1
247,387,1
245,386,1
245,386,1
245,386,1
245,386,1
245,386,1
245,386,1
245,386,1
245,386,1
245,386,1
245,386,1
253,386,1
279,386,1
323,386,1
383,386,1
435,386,1
466,386,1
478,386,1
482,385,1
482,385,1
482,385,1
482,385,1
482,385,1
482,384,1
481,384,1
479,381,1
477,375,1
470,364,1
466,349,1
459,327,1
452,298,1
450,264,1
450,222,1
458,182,1
468,142,1
480,108,1
487,88,1
491,79,1
492,79,1
492,79,1
492,79,1
492,81,1
492,88,1
491,127,1
491,146,1
489,201,1
487,236,1
487,263,1
484,286,1
484,299,1
484,301,1
484,303,1
484,303,1
484,303,1
484,303,1
484,302,1
484,300,1
484,297,1
484,293,1
484,289,1
485,262,1
485,237,1
485,223,1
488,181,1
489,171,1
495,147,1
497,141,1
500,135,1
504,133,1
507,131,1
511,130,1
514,130,1
521,131,1
529,138,1
538,151,1
547,172,1
552,197,1
555,224,1
555,247,1
548,266,1
535,283,1
515,295,1
492,303,1
480,305,1
463,308,1
461,308,1
461,308,1
461,308,1
461,308,1
461,308,1
463,308,1
473,305,1
492,303,1
512,303,1
537,305,1
555,308,1
572,316,1
583,322,1
593,332,1
597,339,1
600,345,1
603,351,1
603,355,1
603,359,1
598,367,1
591,372,1
586,374,1
558,377,1
544,377,1
533,376,1
516,371,1
503,366,1
495,362,1
494,361,1
494,361,1
494,361,1
494,361,1
494,361,1
494,361,1
