X,Y,Press
208,182,1
205,182,1
204,183,1
198,193,1
196,200,1
191,216,1
180,244,1
176,253,1
167,282,1
164,291,1
161,305,1
158,312,1
157,316,1
157,316,1
157,316,1
156,316,1
155,316,1
151,312,1
145,307,1
138,303,1
134,301,1
134,301,1
134,301,1
134,301,1
132,300,1
132,300,1
132,300,1
132,300,1
132,298,1
132,298,1
132,298,1
132,298,1
132,298,1
132,298,1
131,294,1
128,286,1
127,279,0
128,271,0
135,265,0
144,260,0
154,256,0
161,252,0
164,247,0
170,240,0
174,235,0
176,232,0
180,226,0
181,224,0
186,221,0
187,221,0
191,218,0
191,218,0
191,218,0
191,217,0
191,214,0
192,211,0
193,209,0
196,205,0
197,202,0
198,200,0
198,200,0
198,200,0
198,200,0
199,199,0
200,199,0
200,198,0
201,198,0
201,198,1
201,198,1
201,198,1
201,198,1
199,204,1
198,209,1
194,219,1
191,229,1
188,241,1
188,247,1
188,255,1
188,262,1
188,271,1
186,285,1
186,299,1
189,314,1
192,326,1
195,334,1
198,338,1
199,338,1
200,338,1
207,335,1
211,332,1
219,323,1
222,318,1
227,311,1
230,307,1
230,305,1
230,304,1
230,304,1
230,304,1
230,304,1
230,307,1
230,313,1
230,320,1
231,327,1
233,330,1
235,331,1
238,331,1
241,331,1
254,328,1
257,327,1
262,323,1
266,317,1
266,315,1
265,309,1
262,302,1
257,298,1
254,296,1
252,295,1
252,295,1
248,295,1
246,297,1
244,302,1
244,307,1
244,311,1
244,316,1
245,318,1
246,320,1
248,320,1
254,320,1
257,320,1
272,318,1
277,317,1
289,311,1
297,306,1
300,304,1
302,300,1
302,299,1
302,299,1
302,299,1
302,299,1
301,302,1
299,308,1
297,317,1
297,325,1
297,331,1
299,335,1
302,337,1
304,337,1
311,337,1
318,335,1
322,331,1
324,328,1
324,326,1
321,316,1
318,314,1
312,308,1
312,308,1
312,308,1
308,308,1
303,311,1
298,318,1
294,323,1
292,327,1
292,328,1
292,328,1
293,329,1
303,328,1
319,325,1
334,322,1
346,319,1
348,318,1
348,318,1
348,318,1
348,318,1
348,320,1
347,330,1
347,334,1
346,352,1
346,357,1
346,368,1
344,381,1
344,383,1
344,389,1
343,390,1
343,390,1
343,390,1
343,390,1
338,383,1
331,372,1
324,360,1
321,352,1
321,347,1
323,343,1
333,338,1
343,336,1
371,330,1
380,328,1
391,323,1
392,322,1
392,322,1
392,322,1
392,322,1
392,322,1
392,322,1
391,325,1
391,327,1
391,330,1
391,330,1
393,333,1
395,333,1
401,333,1
406,332,1
409,328,1
411,324,1
412,323,1
412,317,1
409,313,1
406,310,1
405,310,1
405,310,1
402,310,1
400,311,1
396,315,1
392,320,1
390,324,1
390,327,1
390,330,1
390,331,1
392,333,1
398,333,1
413,333,1
432,329,1
450,324,1
460,319,1
463,317,1
464,316,1
464,316,1
464,316,1
464,316,1
464,315,1
464,315,1
462,317,1
456,323,1
455,325,1
453,331,1
453,335,1
452,338,1
452,338,1
452,338,1
452,338,1
452,336,1
453,335,1
456,331,1
460,328,1
467,326,1
471,323,1
473,323,1
479,320,1
480,320,1
480,320,1
480,320,1
480,320,1
480,320,1
480,320,1
480,320,1
480,320,1
479,321,1
478,324,1
478,328,1
479,333,1
480,336,1
483,339,1
486,340,1
491,340,1
498,338,1
502,334,1
505,328,1
509,323,1
509,321,1
509,321,1
509,321,1
509,321,1
509,323,1
506,333,1
506,336,1
506,342,1
506,346,1
506,348,1
508,348,1
514,348,1
524,348,1
532,343,1
535,339,1
537,334,1
537,329,1
535,322,1
530,314,1
525,309,1
523,308,1
522,308,1
522,308,1
522,308,1
522,308,1
522,308,1
522,308,1
530,306,1
537,304,1
557,300,1
579,294,1
596,288,1
604,284,1
609,281,1
609,280,1
609,280,1
609,280,1
609,280,1
606,282,1
601,286,1
596,296,1
587,309,1
580,325,1
578,335,1
578,340,1
578,341,1
578,341,1
578,342,1
578,342,1
582,342,1
584,341,1
586,338,1
588,334,1
589,329,1
588,319,1
584,313,1
582,312,1
582,312,1
582,312,1
582,312,1
581,312,1
582,313,1
588,316,1
594,318,1
624,319,1
644,319,1
653,319,1
662,316,1
663,316,1
663,316,1
663,316,1
663,316,1
663,316,1
663,316,1
662,316,1
658,318,1
655,320,1
650,325,1
644,330,1
641,335,1
641,337,1
641,337,1
641,337,1
641,338,1
643,338,1
648,335,1
655,332,1
662,329,1
666,326,1
667,325,1
667,325,1
667,325,1
667,325,1
667,326,1
667,329,1
667,334,1
668,341,1
668,347,1
670,351,1
670,353,1
671,356,1
671,358,1
671,359,1
671,362,1
